county,precinct,office,district,party,candidate,votes
ABBEVILLE,ABBEVILLE NO. 1,GOVERNOR,,REPUBLICAN,Mark Sanford,483
ABBEVILLE,ABBEVILLE NO. 1,GOVERNOR,,DEMOCRAT,Tommy Moore,378
ABBEVILLE,ABBEVILLE NO. 1,GOVERNOR,,,WRITE-IN,1
ABBEVILLE,ABBEVILLE NO. 2,GOVERNOR,,REPUBLICAN,Mark Sanford,243
ABBEVILLE,ABBEVILLE NO. 2,GOVERNOR,,DEMOCRAT,Tommy Moore,443
ABBEVILLE,ABBEVILLE NO. 2,GOVERNOR,,,WRITE-IN,
ABBEVILLE,ABBEVILLE #3,GOVERNOR,,REPUBLICAN,Mark Sanford,186
ABBEVILLE,ABBEVILLE #3,GOVERNOR,,DEMOCRAT,Tommy Moore,235
ABBEVILLE,ABBEVILLE #3,GOVERNOR,,,WRITE-IN,
ABBEVILLE,ABBEVILLE NO. 4,GOVERNOR,,REPUBLICAN,Mark Sanford,135
ABBEVILLE,ABBEVILLE NO. 4,GOVERNOR,,DEMOCRAT,Tommy Moore,152
ABBEVILLE,ABBEVILLE NO. 4,GOVERNOR,,,WRITE-IN,
ABBEVILLE,ANTREVILLE,GOVERNOR,,REPUBLICAN,Mark Sanford,210
ABBEVILLE,ANTREVILLE,GOVERNOR,,DEMOCRAT,Tommy Moore,202
ABBEVILLE,ANTREVILLE,GOVERNOR,,,WRITE-IN,
ABBEVILLE,BROADMOUTH,GOVERNOR,,REPUBLICAN,Mark Sanford,84
ABBEVILLE,BROADMOUTH,GOVERNOR,,DEMOCRAT,Tommy Moore,68
ABBEVILLE,BROADMOUTH,GOVERNOR,,,WRITE-IN,
ABBEVILLE,CALHOUN FALLS,GOVERNOR,,REPUBLICAN,Mark Sanford,210
ABBEVILLE,CALHOUN FALLS,GOVERNOR,,DEMOCRAT,Tommy Moore,448
ABBEVILLE,CALHOUN FALLS,GOVERNOR,,,WRITE-IN,
ABBEVILLE,COLD SPRINGS,GOVERNOR,,REPUBLICAN,Mark Sanford,171
ABBEVILLE,COLD SPRINGS,GOVERNOR,,DEMOCRAT,Tommy Moore,169
ABBEVILLE,COLD SPRINGS,GOVERNOR,,,WRITE-IN,
ABBEVILLE,DONALDS,GOVERNOR,,REPUBLICAN,Mark Sanford,136
ABBEVILLE,DONALDS,GOVERNOR,,DEMOCRAT,Tommy Moore,100
ABBEVILLE,DONALDS,GOVERNOR,,,WRITE-IN,
ABBEVILLE,DUE WEST,GOVERNOR,,REPUBLICAN,Mark Sanford,269
ABBEVILLE,DUE WEST,GOVERNOR,,DEMOCRAT,Tommy Moore,324
ABBEVILLE,DUE WEST,GOVERNOR,,,WRITE-IN,
ABBEVILLE,HALL'S STORE,GOVERNOR,,REPUBLICAN,Mark Sanford,123
ABBEVILLE,HALL'S STORE,GOVERNOR,,DEMOCRAT,Tommy Moore,184
ABBEVILLE,HALL'S STORE,GOVERNOR,,,WRITE-IN,
ABBEVILLE,KEOWEE,GOVERNOR,,REPUBLICAN,Mark Sanford,182
ABBEVILLE,KEOWEE,GOVERNOR,,DEMOCRAT,Tommy Moore,172
ABBEVILLE,KEOWEE,GOVERNOR,,,WRITE-IN,
ABBEVILLE,LOWNDESVILLE,GOVERNOR,,REPUBLICAN,Mark Sanford,218
ABBEVILLE,LOWNDESVILLE,GOVERNOR,,DEMOCRAT,Tommy Moore,179
ABBEVILLE,LOWNDESVILLE,GOVERNOR,,,WRITE-IN,1
ABBEVILLE,LEBANON,GOVERNOR,,REPUBLICAN,Mark Sanford,191
ABBEVILLE,LEBANON,GOVERNOR,,DEMOCRAT,Tommy Moore,131
ABBEVILLE,LEBANON,GOVERNOR,,,WRITE-IN,
ABBEVILLE,ABSENTEE TOTAL,GOVERNOR,,REPUBLICAN,Mark Sanford,206
ABBEVILLE,ABSENTEE TOTAL,GOVERNOR,,DEMOCRAT,Tommy Moore,304
ABBEVILLE,ABSENTEE TOTAL,GOVERNOR,,,WRITE-IN,
ABBEVILLE,PROVISIONAL BALLOT,GOVERNOR,,REPUBLICAN,Mark Sanford,37
ABBEVILLE,PROVISIONAL BALLOT,GOVERNOR,,DEMOCRAT,Tommy Moore,37
ABBEVILLE,PROVISIONAL BALLOT,GOVERNOR,,,WRITE-IN,
